Weight,Name,Status
177000,./class/class-warlock.json,srd-traduït
179000,./spells/spells-xge.json,traduït
180000,./bestiary/bestiary-wdh.json,NO-TRADUÏT
180000,./class/class-wizard.json,NO-TRADUÏT
182000,./book/book-sac.json,NO-TRADUÏT
182000,./class/class-sorcerer.json,NO-TRADUÏT
183000,./bestiary/bestiary-idrotf.json,NO-TRADUÏT
186000,./adventure/adventure-tftyp-tfof.json,fora-d'àmbit
186000,./adventure/adventure-sdw.json,fora-d'àmbit
194000,./class/class-artificer.json,NO-TRADUÏT
196000,./class/class-fighter.json,NO-TRADUÏT
198000,./encounters.json,NO-TRADUÏT
199000,./adventure/adventure-rmbre.json,fora-d'àmbit
206000,./adventure/adventure-slw.json,fora-d'àmbit
209000,./adventure/adventure-dc.json,fora-d'àmbit
212000,./adventure/adventure-llk.json,fora-d'àmbit
212000,./bestiary/bestiary-ggr.json,NO-TRADUÏT
213000,./adventure/adventure-tftyp-thsot.json,fora-d'àmbit
223000,./names.json,NO-TRADUÏT
249000,./class/class-cleric.json,NO-TRADUÏT
251000,./generated/bookref-quick.json,NO-TRADUÏT
276000,./adventure/adventure-lmop.json,fora-d'àmbit
282000,./recipes.json,NO-TRADUÏT
298000,./adventure/adventure-imr.json,fora-d'àmbit
299000,./bestiary/fluff-bestiary-mtf.json,NO-TRADUÏT
302000,./adventure/adventure-tftyp-atg.json,fora-d'àmbit
317000,./book/book-xge.json,NO-TRADUÏT
320000,./book/book-rmr.json,NO-TRADUÏT
323000,./bestiary/fluff-bestiary-vgm.json,NO-TRADUÏT
334000,./adventure/adventure-dip.json,fora-d'àmbit
338000,./generated/bookref-dmscreen.json,NO-TRADUÏT
351000,./fluff-races.json,NO-TRADUÏT
353000,./adventures.json,NO-TRADUÏT
419000,./bestiary/bestiary-vgm.json,NO-TRADUÏT
424000,./book/book-tce.json,NO-TRADUÏT
440000,./races.json,traduït
455000,./adventure/adventure-tftyp-dit.json,fora-d'àmbit
463000,./class/class-ranger.json,NO-TRADUÏT
484000,./book/book-ai.json,NO-TRADUÏT
487000,./bestiary/bestiary-mtf.json,NO-TRADUÏT
530000,./book/book-phb.json,NO-TRADUÏT
541000,./adventure/adventure-rot.json,fora-d'àmbit
545000,./book/book-vgm.json,NO-TRADUÏT
572000,./book/book-mtf.json,NO-TRADUÏT
589000,./adventure/adventure-hotdq.json,fora-d'àmbit
597000,./backgrounds.json,NO-TRADUÏT
615000,./book/book-mot.json,NO-TRADUÏT
616000,./deities.json,NO-TRADUÏT
665000,./book/book-ggr.json,NO-TRADUÏT
696000,./variantrules.json,NO-TRADUÏT
705000,./book/book-scag.json,NO-TRADUÏT
726000,./adventure/adventure-oow.json,fora-d'àmbit
821000,./bestiary/fluff-bestiary-mm.json,NO-TRADUÏT
904000,./spells/spells-phb.json,traduït
964000,./book/book-vrgr.json,NO-TRADUÏT
1012000,./adventure/adventure-pota.json,fora-d'àmbit
1013000,./adventure/adventure-gos.json,fora-d'àmbit
1100000,./adventure/adventure-cm.json,fora-d'àmbit
1100000,./adventure/adventure-bgdia.json,fora-d'àmbit
1100000,./book/book-egw.json,NO-TRADUÏT
1100000,./adventure/adventure-wdh.json,fora-d'àmbit
1200000,./adventure/adventure-oota.json,fora-d'àmbit
1200000,./adventure/adventure-toa.json,fora-d'àmbit
1300000,./book/book-dmg.json,NO-TRADUÏT
1300000,./bestiary/bestiary-mm.json,NO-TRADUÏT
1300000,./book/book-erlw.json,NO-TRADUÏT
1400000,./adventure/adventure-skt.json,fora-d'àmbit
1400000,./generated/gendata-tables.json,NO-TRADUÏT
1400000,./adventure/adventure-idrotf.json,fora-d'àmbit
1500000,./items.json,NO-TRADUÏT
1500000,./adventure/adventure-cos.json,fora-d'àmbit
2400000,./adventure/adventure-wdmm.json,fora-d'àmbit
